Index,Category Number,Date,Value,Value_to_Max_Value_Ratio,FRED_Percentage_Diff
1,1,1/1/00,1636,0.71975363,0
2,1,2/1/00,1737,0.764188297,0.061735941
3,1,3/1/00,1604,0.705675319,-0.076568797
4,1,4/1/00,1626,0.715354158,0.013715711
5,1,5/1/00,1575,0.69291685,-0.031365314
6,1,6/1/00,1559,0.685877695,-0.01015873
7,1,7/1/00,1463,0.643642763,-0.061577935
8,1,8/1/00,1541,0.677958645,0.053315106
9,1,9/1/00,1507,0.66300044,-0.022063595
10,1,10/1/00,1549,0.681478223,0.02786994
11,1,11/1/00,1551,0.682358117,0.001291156
12,1,12/1/00,1532,0.67399912,-0.012250161
13,1,1/1/01,1600,0.70391553,0.044386423
14,1,2/1/01,1625,0.71491421,0.015625
15,1,3/1/01,1590,0.699516058,-0.021538462
16,1,4/1/01,1649,0.725472943,0.037106918
17,1,5/1/01,1605,0.706115266,-0.026682838
18,1,6/1/01,1636,0.71975363,0.019314642
19,1,7/1/01,1670,0.734711835,0.020782396
20,1,8/1/01,1567,0.689397272,-0.061676647
21,1,9/1/01,1562,0.687197536,-0.00319081
22,1,10/1/01,1540,0.677518698,-0.014084507
23,1,11/1/01,1602,0.704795425,0.04025974
24,1,12/1/01,1568,0.68983722,-0.021223471
25,1,1/1/02,1698,0.747030356,0.082908163
26,1,2/1/02,1829,0.80466344,0.077149588
27,1,3/1/02,1642,0.722393313,-0.102241662
28,1,4/1/02,1592,0.700395952,-0.03045067
29,1,5/1/02,1764,0.776066872,0.108040201
30,1,6/1/02,1717,0.755389353,-0.026643991
31,1,7/1/02,1655,0.728112626,-0.036109493
32,1,8/1/02,1633,0.718433788,-0.013293051
33,1,9/1/02,1804,0.79366476,0.104715248
34,1,10/1/02,1648,0.725032996,-0.086474501
35,1,11/1/02,1753,0.771227453,0.063713592
36,1,12/1/02,1788,0.786625605,0.019965773
37,1,1/1/03,1853,0.815222173,0.036353468
38,1,2/1/03,1629,0.716673999,-0.120885051
39,1,3/1/03,1726,0.759348878,0.059545734
40,1,4/1/03,1643,0.72283326,-0.048088065
41,1,5/1/03,1751,0.770347558,0.065733414
42,1,6/1/03,1867,0.821381434,0.066247858
43,1,7/1/03,1897,0.83457985,0.016068559
44,1,8/1/03,1833,0.806423229,-0.03373748
45,1,9/1/03,1939,0.853057633,0.057828696
46,1,10/1/03,1967,0.865376155,0.014440433
47,1,11/1/03,2083,0.916410031,0.058973055
48,1,12/1/03,2057,0.904971403,-0.012481997
49,1,1/1/04,1911,0.840739111,-0.070977151
50,1,2/1/04,1846,0.812142543,-0.034013605
51,1,3/1/04,1998,0.879014518,0.082340195
52,1,4/1/04,2003,0.881214254,0.002502503
53,1,5/1/04,1981,0.871535416,-0.010983525
54,1,6/1/04,1828,0.804223493,-0.07723372
55,1,7/1/04,2002,0.880774307,0.095185996
56,1,8/1/04,2024,0.890453146,0.010989011
57,1,9/1/04,1905,0.838099428,-0.058794466
58,1,10/1/04,2072,0.911570612,0.087664042
59,1,11/1/04,1782,0.783985922,-0.13996139
60,1,12/1/04,2042,0.898372195,0.145903479
61,1,1/1/05,2144,0.94324681,0.049951028
62,1,2/1/05,2207,0.970963484,0.029384328
63,1,3/1/05,1864,0.820061593,-0.15541459
64,1,4/1/05,2061,0.906731192,0.105686695
65,1,5/1/05,2025,0.890893093,-0.017467249
66,1,6/1/05,2068,0.909810823,0.021234568
67,1,7/1/05,2054,0.903651562,-0.006769826
68,1,8/1/05,2095,0.921689397,0.019961052
69,1,9/1/05,2151,0.946326441,0.02673031
70,1,10/1/05,2065,0.908490981,-0.039981404
71,1,11/1/05,2147,0.944566652,0.039709443
72,1,12/1/05,1994,0.877254729,-0.071262226
73,1,1/1/06,2273,1,0.139919759
74,1,2/1/06,2119,0.93224813,-0.06775187
75,1,3/1/06,1969,0.866256049,-0.070788108
76,1,4/1/06,1821,0.801143863,-0.075165058
77,1,5/1/06,1942,0.854377475,0.066447007
78,1,6/1/06,1802,0.792784866,-0.072090628
79,1,7/1/06,1737,0.764188297,-0.036071032
80,1,8/1/06,1650,0.72591289,-0.050086356
81,1,9/1/06,1720,0.756709195,0.042424242
82,1,10/1/06,1491,0.655961285,-0.133139535
83,1,11/1/06,1570,0.690717114,0.052984574
84,1,12/1/06,1649,0.725472943,0.050318471
85,1,1/1/07,1409,0.619885614,-0.145542753
86,1,2/1/07,1480,0.651121865,0.050390348
87,1,3/1/07,1495,0.657721073,0.010135135
88,1,4/1/07,1490,0.655521337,-0.003344482
89,1,5/1/07,1415,0.622525297,-0.05033557
90,1,6/1/07,1448,0.637043555,0.023321555
91,1,7/1/07,1354,0.595688517,-0.064917127
92,1,8/1/07,1330,0.585129784,-0.017725258
93,1,9/1/07,1183,0.520457545,-0.110526316
94,1,10/1/07,1264,0.556093269,0.068469992
95,1,11/1/07,1197,0.526616806,-0.053006329
96,1,12/1/07,1037,0.456225253,-0.133667502
97,1,1/1/08,1084,0.476902772,0.045323047
98,1,2/1/08,1103,0.485261769,0.017527675
99,1,3/1/08,1005,0.442146942,-0.088848595
100,1,4/1/08,1013,0.44566652,0.007960199
101,1,5/1/08,973,0.428068632,-0.039486673
102,1,6/1/08,1046,0.460184778,0.075025694
103,1,7/1/08,923,0.406071271,-0.117590822
104,1,8/1/08,844,0.371315442,-0.085590466
105,1,9/1/08,820,0.360756709,-0.028436019
106,1,10/1/08,777,0.341838979,-0.052439024
107,1,11/1/08,652,0.286845579,-0.160875161
108,1,12/1/08,560,0.246370436,-0.141104294
109,1,1/1/09,490,0.215574131,-0.125
110,1,2/1/09,582,0.256049274,0.187755102
111,1,3/1/09,505,0.222173339,-0.132302405
112,1,4/1/09,478,0.210294765,-0.053465347
113,1,5/1/09,540,0.237571491,0.129707113
114,1,6/1/09,585,0.257369116,0.083333333
115,1,7/1/09,594,0.261328641,0.015384615
116,1,8/1/09,586,0.257809063,-0.013468013
117,1,9/1/09,585,0.257369116,-0.001706485
118,1,10/1/09,534,0.234931808,-0.087179487
119,1,11/1/09,588,0.258688957,0.101123596
120,1,12/1/09,581,0.255609327,-0.011904762
121,1,1/1/10,614,0.270127585,0.056798623
122,1,2/1/10,604,0.265728113,-0.016286645
123,1,3/1/10,636,0.279806423,0.052980132
124,1,4/1/10,687,0.302243731,0.080188679
125,1,5/1/10,583,0.256489221,-0.151382824
126,1,6/1/10,536,0.235811703,-0.080617496
127,1,7/1/10,546,0.240211175,0.018656716
128,1,8/1/10,599,0.263528377,0.097069597
129,1,9/1/10,594,0.261328641,-0.008347245
130,1,10/1/10,543,0.238891333,-0.085858586
131,1,11/1/10,545,0.239771227,0.003683241
132,1,12/1/10,539,0.237131544,-0.011009174
133,1,1/1/11,630,0.27716674,0.168831169
134,1,2/1/11,517,0.227452706,-0.179365079
135,1,3/1/11,600,0.263968324,0.160541586
136,1,4/1/11,554,0.243730752,-0.076666667
137,1,5/1/11,561,0.246810383,0.012635379
138,1,6/1/11,608,0.267487901,0.083778966
139,1,7/1/11,623,0.27408711,0.024671053
140,1,8/1/11,585,0.257369116,-0.060995185
141,1,9/1/11,650,0.285965684,0.111111111
142,1,10/1/11,610,0.268367796,-0.061538462
143,1,11/1/11,711,0.312802464,0.16557377
144,1,12/1/11,694,0.305323361,-0.023909986
145,1,1/1/12,723,0.31808183,0.041786744
146,1,2/1/12,704,0.309722833,-0.026279391
147,1,3/1/12,695,0.305763308,-0.012784091
148,1,4/1/12,753,0.331280246,0.083453237
149,1,5/1/12,708,0.311482622,-0.059760956
150,1,6/1/12,757,0.333040035,0.06920904
